applicant_id,consent,priority,physics_ikt,russian,math,achievements,total
100000,0,3,78,54,55,7,194
100001,0,1,78,54,55,6,193
100002,0,1,64,66,57,5,192
100003,0,2,81,53,53,4,191
100004,0,1,61,58,68,3,190
100005,0,3,64,65,58,2,189
100006,1,4,98,99,67,0,264
100007,1,3,87,99,67,10,263
100008,1,2,82,100,71,9,262
100009,0,2,64,57,66,1,188
100010,0,1,81,56,50,0,187
100011,0,1,58,62,56,10,186
100012,0,4,67,51,58,9,185
100013,0,2,76,50,50,8,184
100014,0,4,67,52,57,7,183
100015,0,2,71,53,52,6,182
100016,0,2,71,53,52,5,181
100017,0,4,72,52,52,4,180
100018,0,4,72,54,50,3,179
100019,0,2,61,58,57,2,178
100020,0,4,72,51,53,1,177
100021,0,4,76,50,50,0,176
100022,0,2,62,52,51,10,175
100023,0,1,62,53,50,9,174
100024,0,4,55,56,54,8,173
100025,0,2,62,51,52,7,172
100026,0,3,64,51,50,6,171
100027,0,3,55,55,55,5,170
100028,0,2,64,50,51,4,169
100029,0,1,52,56,57,3,168
100030,0,4,65,50,50,2,167
100031,0,2,56,59,50,1,166
100032,0,1,59,55,51,0,165
100033,0,1,54,50,50,10,164
100034,0,4,54,50,50,9,163
100035,0,2,54,50,50,8,162
100036,0,2,54,50,50,7,161
100037,0,4,52,52,50,6,160
100038,0,3,53,51,50,6,160
100039,0,4,51,52,51,6,160
100040,0,3,54,50,50,6,160
100041,0,4,51,52,51,6,160
100042,0,1,53,51,50,6,160
100043,0,3,50,53,51,6,160
100044,0,1,53,51,50,6,160
100045,0,2,51,51,52,6,160
100046,1,1,91,83,79,8,261
100047,0,2,53,50,51,6,160
100048,1,1,95,79,79,7,260
100049,0,2,52,52,50,6,160
100050,0,4,53,51,50,6,160
100051,0,1,54,50,50,6,160
100052,0,1,54,50,50,6,160
100053,0,4,51,52,51,6,160
100054,0,1,51,52,51,6,160
100055,0,3,53,50,51,6,160
100056,0,1,53,51,50,6,160
100058,0,1,51,52,51,6,160
100059,0,4,51,50,53,6,160
100060,0,2,52,51,51,6,160
100061,0,2,54,50,50,6,160
100062,0,1,54,50,50,6,160
100063,0,3,52,52,50,6,160
100064,0,4,54,50,50,6,160
100065,0,3,50,52,52,6,160
100066,0,2,54,50,50,6,160
100067,0,3,53,51,50,6,160
100068,0,3,54,50,50,6,160
100069,0,1,51,51,52,6,160
100070,0,3,52,52,50,6,160
100071,1,1,77,100,76,6,259
100072,0,3,54,50,50,6,160
100073,0,2,51,53,50,6,160
100074,0,2,52,51,51,6,160
100075,0,2,53,51,50,6,160
100076,0,1,51,53,50,6,160
100077,0,3,54,50,50,6,160
100078,0,4,54,50,50,6,160
100079,0,4,52,51,51,6,160
100080,0,2,52,52,50,6,160
100081,0,2,51,53,50,6,160
100082,0,1,53,50,51,6,160
100083,0,4,53,51,50,6,160
100084,0,1,53,51,50,6,160
100085,0,3,51,53,50,6,160
100086,0,3,54,50,50,6,160
100087,0,4,54,50,50,6,160
100088,0,3,53,51,50,6,160
100089,0,4,53,51,50,6,160
100090,0,2,53,51,50,6,160
100091,0,1,51,52,51,6,160
100092,0,1,53,51,50,6,160
100093,0,2,53,51,50,6,160
100094,0,2,50,51,53,6,160
100095,1,1,94,91,68,5,258
100096,0,4,53,50,51,6,160
100097,0,1,53,50,51,6,160
100098,0,2,52,51,51,6,160
100099,0,3,53,51,50,6,160
100100,0,3,52,52,50,6,160
100101,0,2,53,51,50,6,160
100102,0,2,52,51,51,6,160
100103,0,2,53,51,50,6,160
100104,0,4,54,50,50,6,160
100105,1,1,88,76,89,4,257
100106,0,3,52,52,50,6,160
100107,0,2,53,51,50,6,160
100108,0,2,51,52,51,6,160
100109,0,2,50,54,50,6,160
100110,0,2,52,52,50,6,160
100111,0,1,52,51,51,6,160
100112,0,3,51,52,51,6,160
100113,0,2,51,50,53,6,160
100114,0,3,51,53,50,6,160
100115,0,1,51,53,50,6,160
100116,0,4,52,51,51,6,160
100117,0,1,50,53,51,6,160
100118,0,3,52,51,51,6,160
100119,0,3,53,51,50,6,160
100120,0,4,53,51,50,6,160
100121,0,1,54,50,50,6,160
100122,0,2,51,52,51,6,160
100123,0,3,51,51,52,6,160
100124,0,2,53,51,50,6,160
100125,0,2,54,50,50,6,160
100126,0,3,53,50,51,6,160
100127,0,4,52,52,50,6,160
100128,0,4,52,52,50,6,160
100129,0,4,51,53,50,6,160
100130,0,2,54,50,50,6,160
100131,0,1,50,54,50,6,160
100132,0,3,54,50,50,6,160
100133,0,3,54,50,50,6,160
100134,0,2,54,50,50,6,160
100135,0,3,53,51,50,6,160
100136,0,4,52,52,50,6,160
100137,0,4,53,50,51,6,160
100138,0,3,53,51,50,6,160
100139,0,4,54,50,50,6,160
100140,0,3,52,50,52,6,160
100141,0,1,53,50,51,6,160
100142,1,1,55,98,100,3,256
100143,0,2,53,51,50,6,160
100144,0,4,51,53,50,6,160
100145,0,4,53,51,50,6,160
100146,0,2,51,50,53,6,160
100147,0,2,51,52,51,6,160
100148,0,1,52,52,50,6,160
100149,0,3,54,50,50,6,160
100150,0,3,52,51,51,6,160
100151,0,1,51,53,50,6,160
100152,0,2,52,51,51,6,160
100153,0,2,51,52,51,6,160
100154,0,1,53,51,50,6,160
100155,0,3,52,51,51,6,160
100156,0,4,54,50,50,6,160
100157,0,4,52,52,50,6,160
100158,0,1,53,50,51,6,160
100159,0,2,54,50,50,6,160
100160,0,1,54,50,50,6,160
100161,0,3,53,50,51,6,160
