applicant_id,consent,priority,physics_ikt,russian,math,achievements,total
100001,0,3,76,61,72,0,209
100003,0,1,86,62,50,10,208
100004,0,1,54,75,69,9,207
100005,1,3,99,80,52,8,239
100006,1,2,98,68,65,7,238
100007,0,3,76,61,61,8,206
100008,0,1,97,51,50,7,205
100009,0,1,59,89,50,6,204
100010,0,2,69,74,55,5,203
100012,0,3,70,70,58,4,202
100015,1,1,81,75,75,5,236
100016,0,1,82,62,54,3,201
100017,0,2,67,81,50,2,200
100018,0,3,94,53,51,1,199
100019,0,3,56,67,75,0,198
100022,0,2,87,50,50,10,197
100023,0,3,60,71,56,9,196
100024,0,2,62,57,68,8,195
100025,0,2,61,72,54,7,194
100026,0,1,78,59,50,6,193
100027,0,1,64,73,50,5,192
100028,0,3,84,53,50,4,191
100029,0,3,82,53,52,3,190
100030,0,3,66,58,63,2,189
100032,0,1,56,79,52,1,188
100033,0,1,71,61,55,0,187
100034,0,2,55,64,57,10,186
100036,0,2,63,60,53,9,185
100037,0,1,71,55,50,8,184
100038,0,3,75,51,50,7,183
100039,0,1,66,52,58,6,182
100041,0,3,70,54,52,5,181
100042,0,1,64,60,52,4,180
100043,0,1,73,53,50,3,179
100063,0,3,52,74,50,2,178
100064,0,2,73,53,50,1,177
100065,0,1,72,50,54,0,176
100066,1,4,63,80,88,6,237
100067,0,4,63,52,50,10,175
100069,0,3,53,60,52,9,174
100070,0,4,57,51,57,8,173
100071,0,3,50,53,62,7,172
100072,0,1,58,56,51,6,171
100074,0,2,63,52,50,5,170
100078,0,3,64,51,50,4,169
100083,0,2,64,50,51,3,168
100086,0,4,52,63,50,2,167
100087,0,3,56,56,53,1,166
100088,0,4,58,53,54,0,165
100091,0,2,51,52,51,10,164
100092,0,1,52,51,51,9,163
100093,0,2,54,50,50,8,162
100094,0,4,51,51,52,7,161
100095,0,1,51,53,50,6,160
100096,0,3,51,51,52,6,160
100097,0,4,52,52,50,6,160
100098,0,2,54,50,50,6,160
100099,0,3,53,51,50,6,160
100100,0,4,54,50,50,6,160
100101,0,3,54,50,50,6,160
100102,0,2,51,52,51,6,160
100103,0,1,52,52,50,6,160
100104,0,3,51,53,50,6,160
100105,0,3,53,51,50,6,160
100106,0,2,54,50,50,6,160
100107,0,1,53,51,50,6,160
100108,0,3,52,52,50,6,160
100109,0,4,54,50,50,6,160
100110,0,2,54,50,50,6,160
100112,0,3,53,51,50,6,160
100113,0,2,53,50,51,6,160
100114,0,2,54,50,50,6,160
100115,1,1,95,72,64,4,235
100116,0,4,54,50,50,6,160
100117,0,2,54,50,50,6,160
100118,0,1,54,50,50,6,160
100120,0,1,53,51,50,6,160
100122,0,2,53,51,50,6,160
100123,0,1,54,50,50,6,160
100124,0,1,54,50,50,6,160
100125,1,1,77,54,100,3,234
100126,0,1,52,51,51,6,160
100127,0,2,54,50,50,6,160
100128,0,2,53,50,51,6,160
100129,0,2,54,50,50,6,160
100130,0,3,54,50,50,6,160
100131,0,2,51,53,50,6,160
100132,0,1,51,53,50,6,160
100133,0,1,54,50,50,6,160
100134,0,3,53,51,50,6,160
100135,0,1,52,51,51,6,160
100136,1,1,93,76,62,2,233
100137,0,1,53,51,50,6,160
100138,0,2,51,53,50,6,160
100139,1,1,97,82,52,1,232
100140,0,2,52,52,50,6,160
100141,0,1,52,51,51,6,160
100142,0,4,54,50,50,6,160
100143,0,1,52,50,52,6,160
100145,0,1,53,51,50,6,160
100146,0,1,51,53,50,6,160
100147,0,2,54,50,50,6,160
100148,0,3,53,50,51,6,160
100149,0,1,50,54,50,6,160
100150,0,2,50,50,54,6,160
100151,0,2,54,50,50,6,160
100153,0,4,50,54,50,6,160
100155,0,3,54,50,50,6,160
100157,0,2,50,54,50,6,160
100158,0,3,50,52,52,6,160
100159,0,4,54,50,50,6,160
100160,0,1,52,52,50,6,160
100161,0,2,53,51,50,6,160
100162,0,2,52,52,50,6,160
100163,1,1,53,91,87,0,231
100164,0,1,53,51,50,6,160
100165,0,3,53,51,50,6,160
100166,1,1,73,69,78,10,230
100167,0,4,54,50,50,6,160
100168,0,3,53,51,50,6,160
100169,0,2,54,50,50,6,160
100170,0,2,52,51,51,6,160
100171,0,1,54,50,50,6,160
100172,0,2,53,50,51,6,160
100173,0,2,54,50,50,6,160
