applicant_id,consent,priority,physics_ikt,russian,math,achievements,total
100000,0,3,62,67,80,0,209
100001,0,1,97,51,50,10,208
100002,0,4,67,66,65,9,207
100003,1,4,90,96,100,3,289
100004,1,3,100,97,89,2,288
100005,1,2,97,89,100,1,287
100006,0,3,62,66,70,8,206
100007,0,2,98,50,50,7,205
100008,0,3,87,59,52,6,204
100009,0,3,91,57,50,5,203
100010,0,2,86,57,55,4,202
100011,0,1,77,51,70,3,201
100012,0,4,95,52,51,2,200
100013,0,1,53,94,51,1,199
100014,0,4,69,76,53,0,198
100015,0,2,66,67,54,10,197
100016,0,3,66,64,57,9,196
100017,0,2,55,82,50,8,195
100018,0,2,66,68,53,7,194
100019,0,1,87,50,50,6,193
100020,0,4,58,74,55,5,192
100021,0,3,60,64,63,4,191
100022,0,2,86,50,51,3,190
100023,0,4,70,52,65,2,189
100024,0,1,86,50,51,1,188
100025,0,3,66,66,55,0,187
100026,0,2,64,54,58,10,186
100027,0,4,72,51,53,9,185
100028,0,2,74,52,50,8,184
100029,0,4,56,64,56,7,183
100030,0,3,64,60,52,6,182
100031,0,2,72,50,54,5,181
100032,0,4,64,62,50,4,180
100033,0,1,59,62,55,3,179
100034,0,4,69,57,50,2,178
100035,0,2,73,53,50,1,177
100036,0,1,56,69,51,0,176
100037,0,1,51,62,52,10,175
100038,0,2,58,53,54,9,174
100039,0,1,60,52,53,8,173
100041,0,1,53,59,53,7,172
100042,0,1,61,53,51,6,171
100043,0,2,54,54,57,5,170
100044,0,2,55,54,56,4,169
100045,0,3,50,65,50,3,168
100046,0,3,53,54,58,2,167
100047,0,3,60,53,52,1,166
100048,0,2,61,53,51,0,165
100049,1,1,97,89,100,0,286
100050,0,4,54,50,50,10,164
100051,0,4,52,50,52,9,163
100052,0,3,52,51,51,8,162
100053,0,1,52,52,50,7,161
100054,0,1,54,50,50,6,160
100055,0,4,51,52,51,6,160
100056,0,2,54,50,50,6,160
100058,0,3,54,50,50,6,160
100059,0,2,51,53,50,6,160
100060,0,2,52,51,51,6,160
100061,1,1,100,75,100,10,285
100062,0,3,50,53,51,6,160
100063,0,1,51,53,50,6,160
100064,0,1,52,52,50,6,160
100065,0,3,53,51,50,6,160
100066,0,1,54,50,50,6,160
100067,0,2,54,50,50,6,160
100068,0,1,52,51,51,6,160
100069,0,1,54,50,50,6,160
100071,0,2,52,51,51,6,160
100072,0,4,54,50,50,6,160
100073,0,4,54,50,50,6,160
100074,0,1,52,51,51,6,160
100075,0,1,52,51,51,6,160
100076,0,4,51,53,50,6,160
100077,0,1,52,52,50,6,160
100078,0,1,53,51,50,6,160
100079,0,3,52,52,50,6,160
100080,0,4,52,52,50,6,160
100081,0,4,51,53,50,6,160
100082,0,2,54,50,50,6,160
100083,0,2,54,50,50,6,160
100084,0,4,52,51,51,6,160
100086,0,1,54,50,50,6,160
100087,0,1,54,50,50,6,160
100088,0,1,51,52,51,6,160
100089,0,1,53,50,51,6,160
100090,0,4,50,52,52,6,160
100091,0,1,53,51,50,6,160
100092,0,2,53,51,50,6,160
100093,0,3,51,51,52,6,160
100094,0,1,51,53,50,6,160
100095,0,2,54,50,50,6,160
100096,0,3,54,50,50,6,160
100097,0,1,54,50,50,6,160
100098,0,2,52,52,50,6,160
100099,0,2,52,51,51,6,160
100100,0,3,51,53,50,6,160
100101,0,4,54,50,50,6,160
100102,0,2,53,51,50,6,160
100103,0,4,51,53,50,6,160
100104,1,1,100,100,75,9,284
100105,0,2,53,51,50,6,160
100106,0,2,53,50,51,6,160
100107,0,2,52,52,50,6,160
100108,0,3,52,51,51,6,160
100109,1,1,93,83,99,8,283
100110,0,4,54,50,50,6,160
100111,0,4,51,53,50,6,160
100112,0,2,53,51,50,6,160
100113,0,3,54,50,50,6,160
100114,0,4,52,52,50,6,160
100115,0,2,52,51,51,6,160
100116,0,2,52,51,51,6,160
100117,0,1,54,50,50,6,160
100118,0,2,53,51,50,6,160
100119,0,3,52,51,51,6,160
100120,1,1,83,100,92,7,282
100122,0,3,51,53,50,6,160
100123,0,2,51,53,50,6,160
100124,0,4,51,51,52,6,160
100126,0,4,52,50,52,6,160
100127,0,2,53,51,50,6,160
100128,0,2,53,51,50,6,160
100129,0,4,52,52,50,6,160
100130,0,1,53,51,50,6,160
100131,0,2,52,51,51,6,160
100132,0,4,51,53,50,6,160
100133,0,1,54,50,50,6,160
100134,0,4,51,53,50,6,160
100135,0,1,51,51,52,6,160
100136,0,2,54,50,50,6,160
100137,0,1,52,52,50,6,160
100138,0,3,54,50,50,6,160
100139,0,4,50,54,50,6,160
100140,0,4,53,50,51,6,160
100141,0,1,54,50,50,6,160
100142,0,2,52,51,51,6,160
100143,0,1,52,52,50,6,160
100144,0,4,51,50,53,6,160
100145,1,1,85,95,95,6,281
100146,0,4,52,52,50,6,160
100147,1,1,77,100,98,5,280
100148,0,4,53,50,51,6,160
100149,0,2,53,51,50,6,160
100150,0,4,53,50,51,6,160
100151,0,1,53,51,50,6,160
100152,0,2,53,51,50,6,160
100153,0,3,51,52,51,6,160
100154,0,3,51,53,50,6,160
100155,0,3,52,50,52,6,160
100156,0,4,51,52,51,6,160
100157,0,4,52,52,50,6,160
100158,0,4,51,53,50,6,160
100159,0,4,54,50,50,6,160
100160,0,1,53,51,50,6,160
100161,0,3,51,52,51,6,160
100163,0,2,53,51,50,6,160
100164,0,4,53,51,50,6,160
100165,0,2,52,52,50,6,160
100166,0,2,54,50,50,6,160
100167,0,1,53,51,50,6,160
100168,0,4,50,54,50,6,160
100169,0,2,51,53,50,6,160
100170,0,4,54,50,50,6,160
100171,1,1,100,79,96,4,279
100172,0,3,51,53,50,6,160
100173,0,4,51,53,50,6,160
100174,0,2,50,54,50,6,160
100175,0,2,53,51,50,6,160
100176,0,4,50,54,50,6,160
100177,0,2,54,50,50,6,160
100178,0,1,53,50,51,6,160
100179,0,3,52,52,50,6,160
100180,0,2,52,52,50,6,160
100181,0,1,53,50,51,6,160
100182,0,1,53,51,50,6,160
100183,0,2,54,50,50,6,160
100184,0,4,54,50,50,6,160
100185,0,2,52,52,50,6,160
100186,0,1,51,51,52,6,160
100187,0,3,52,52,50,6,160
100188,0,2,51,52,51,6,160
100189,0,2,54,50,50,6,160
100190,0,3,52,51,51,6,160
100191,0,2,52,52,50,6,160
100192,0,1,52,52,50,6,160
100193,0,2,53,51,50,6,160
100194,0,1,54,50,50,6,160
100195,0,3,53,51,50,6,160
100196,1,1,93,100,82,3,278
100197,0,3,53,51,50,6,160
100198,0,1,53,51,50,6,160
100199,0,2,54,50,50,6,160
100200,0,2,53,50,51,6,160
100201,0,2,52,51,51,6,160
100202,0,1,51,52,51,6,160
100203,0,3,51,52,51,6,160
100204,0,3,54,50,50,6,160
100205,0,1,51,52,51,6,160
100206,0,2,54,50,50,6,160
