applicant_id,consent,priority,physics_ikt,russian,math,achievements,total
100000,1,1,93,86,52,5,236
100001,0,1,88,57,64,10,219
100002,0,1,85,72,52,9,218
100003,1,1,69,79,83,4,235
100004,1,1,60,90,81,3,234
100005,1,1,96,76,59,2,233
100006,0,1,85,57,67,8,217
100007,0,1,84,61,64,7,216
100008,0,1,73,77,59,6,215
100009,0,1,81,69,59,5,214
100010,0,1,100,54,55,4,213
100011,0,1,93,65,51,3,212
100012,0,1,67,57,85,2,211
100062,1,2,71,72,88,8,239
100063,0,1,96,58,55,1,210
100064,1,1,86,88,57,1,232
100065,0,2,58,98,53,0,209
100066,0,1,77,71,50,10,208
100067,0,2,67,54,77,9,207
100068,0,1,83,65,50,8,206
100069,0,2,86,61,51,7,205
100070,1,1,100,59,72,0,231
100071,0,1,86,60,52,6,204
100072,0,2,89,55,54,5,203
100073,0,2,53,87,58,4,202
100074,0,1,83,58,57,3,201
100075,0,1,69,65,64,2,200
100076,0,2,79,69,50,1,199
100086,0,1,58,51,89,0,198
100087,1,1,73,94,53,10,230
100088,1,1,81,77,62,9,229
100089,1,1,83,70,67,8,228
100090,1,1,97,63,60,7,227
100091,0,1,72,59,56,10,197
100092,1,1,87,62,71,6,226
100093,0,1,86,51,50,9,196
100094,0,2,86,50,51,8,195
100095,0,2,54,69,64,7,194
100108,1,3,99,78,54,7,238
100109,0,1,86,51,50,6,193
100133,0,1,85,52,50,5,192
100134,0,1,87,50,50,4,191
100135,0,1,86,51,50,3,190
100136,0,1,73,56,58,2,189
100137,1,1,80,86,54,5,225
100138,0,2,62,68,57,1,188
100139,1,1,86,71,63,4,224
100140,1,1,86,64,70,3,223
100141,0,1,68,64,55,0,187
100142,1,1,86,78,56,2,222
100143,1,1,70,90,60,1,221
100144,1,1,100,51,69,0,220
100145,0,1,74,52,50,10,186
100161,0,1,62,52,62,9,185
100162,0,3,53,61,62,8,184
100173,0,1,64,59,53,7,183
100174,0,1,65,60,51,6,182
100177,1,4,77,96,58,6,237
100178,0,3,57,64,55,5,181
100179,0,2,69,51,56,4,180
